age,workclass,finalweigth,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,final
39,89,77516,17,13,62,11,65,98,56,2174,0,40,95,8
50,85,83311,17,13,58,31,46,98,56,0,0,13,95,8
38,77,215646,39,9,25,41,65,98,56,0,0,40,95,8
53,77,234721,2,7,58,41,46,18,56,0,0,40,95,8
28,77,338409,17,13,58,79,100,18,34,0,0,40,24,8
37,77,284582,60,14,58,31,100,98,34,0,0,40,95,8
49,77,160187,7,5,59,68,65,18,34,0,0,16,51,8
52,85,209642,39,9,58,31,46,98,56,0,0,45,95,9
31,77,45781,60,14,62,79,65,98,34,14084,0,50,95,9
42,77,159449,17,13,58,31,46,98,56,5178,0,40,95,9
37,77,280464,87,10,58,31,46,18,56,0,0,80,95,9
30,89,141297,17,13,58,79,46,14,56,0,0,40,47,9
23,77,122272,17,13,62,11,70,98,34,0,0,30,95,8
32,77,205019,15,12,62,82,65,18,56,0,0,50,95,8
40,77,121772,16,11,58,23,46,14,56,0,0,40,10,9
34,77,245487,6,4,58,93,46,12,56,0,0,45,61,8
25,85,176756,39,9,62,32,70,98,56,0,0,35,95,8
32,77,186824,39,9,62,55,96,98,56,0,0,40,95,8
38,77,28887,2,7,58,82,46,98,56,0,0,50,95,8
43,85,292175,60,14,25,31,96,98,34,0,0,45,95,9
40,77,193524,26,16,58,79,46,98,56,0,0,60,95,9
54,77,302146,39,9,86,68,96,18,34,0,0,20,95,8
35,33,76845,7,5,58,32,46,18,56,0,0,40,95,8
43,77,117037,2,7,58,93,46,98,56,0,2042,40,95,8
59,77,109015,39,9,25,91,96,98,34,0,0,40,95,8
56,54,216851,17,13,58,91,46,98,56,0,0,40,95,9
19,77,168294,39,9,62,23,70,98,56,0,0,40,95,8
54,10,180211,87,10,58,10,46,14,56,0,0,60,88,9
39,77,367260,39,9,25,31,65,98,56,0,0,80,95,8
49,77,193366,39,9,58,23,46,98,56,0,0,40,95,8
23,54,190709,15,12,62,80,65,98,56,0,0,52,95,8
20,77,266015,87,10,62,82,70,18,56,0,0,44,95,8
45,77,386940,17,13,25,31,70,98,56,0,1408,40,95,8
30,33,59951,87,10,58,11,70,98,56,0,0,40,95,8
22,89,311512,87,10,58,68,46,18,56,0,0,15,95,8
48,77,242406,2,7,62,55,96,98,56,0,0,40,81,8
21,77,197200,87,10,62,55,70,98,56,0,0,40,95,8
19,77,544091,39,9,57,11,100,98,34,0,0,25,95,8
31,77,84154,87,10,58,82,46,98,56,0,0,38,10,9
48,85,265477,15,12,58,79,46,98,56,0,0,40,95,8
31,77,507875,7,5,58,55,46,98,56,0,0,43,95,8
53,85,88506,17,13,58,79,46,98,56,0,0,40,95,8
24,77,172987,17,13,58,91,46,98,56,0,0,50,95,8
49,77,94638,39,9,86,11,96,98,34,0,0,40,95,8
25,77,289980,39,9,62,41,65,98,56,0,0,35,95,8
57,33,337895,17,13,58,79,46,18,56,0,0,40,95,9
53,77,144361,39,9,58,55,46,98,56,0,0,38,95,8
44,77,128354,60,14,25,31,96,98,34,0,0,40,95,8
41,89,101603,16,11,58,23,46,98,56,0,0,40,95,8
29,77,271466,16,11,62,79,65,98,56,0,0,43,95,8
25,77,32275,87,10,58,31,100,66,34,0,0,40,95,8
18,77,226956,39,9,62,68,70,98,34,0,0,30,10,8
47,77,51835,78,15,58,79,100,98,34,0,1902,60,43,9
50,33,251585,17,13,25,31,65,98,56,0,0,55,95,9
47,84,109832,39,9,25,31,65,98,56,0,0,60,95,8
43,77,237993,87,10,58,91,46,98,56,0,0,40,95,9
46,77,216666,5,3,58,55,46,98,56,0,0,40,61,8
35,77,56352,16,11,58,68,46,98,56,0,0,40,81,8
41,77,147372,39,9,58,11,46,98,56,0,0,48,95,8
30,77,188146,39,9,58,55,46,98,56,5013,0,40,95,8
30,77,59496,17,13,58,82,46,98,56,2407,0,40,95,8
32,10,293936,6,4,59,10,65,98,56,0,0,40,10,8
48,77,149640,39,9,58,93,46,98,56,0,0,40,95,8
42,77,116632,26,16,58,79,46,98,56,0,0,45,95,9
29,77,105598,87,10,25,91,65,98,56,0,0,58,95,8
36,77,155537,39,9,58,23,46,98,56,0,0,40,95,8
28,77,183175,87,10,25,11,65,98,34,0,0,40,95,8
53,77,169846,39,9,58,11,100,98,34,0,0,40,95,9
49,84,191681,87,10,58,31,46,98,56,0,0,50,95,9
25,10,200681,87,10,62,10,70,98,56,0,0,40,95,8
19,77,101509,87,10,62,79,70,98,56,0,0,32,95,8
31,77,309974,17,13,86,82,70,18,34,0,0,40,95,8
29,85,162298,17,13,58,82,46,98,56,0,0,70,95,9
23,77,211678,87,10,62,55,65,98,56,0,0,40,95,8
79,77,124744,87,10,58,79,67,98,56,0,0,20,95,8
27,77,213921,39,9,62,68,70,98,56,0,0,40,61,8
40,77,32214,15,12,58,11,46,98,56,0,0,40,95,8
67,10,212759,1,6,58,10,46,98,56,0,0,2,95,8
18,77,309634,2,7,62,68,70,98,34,0,0,22,95,8
31,54,125927,6,4,58,32,46,98,56,0,0,40,95,8
18,77,446839,39,9,62,82,65,98,56,0,0,30,95,8
52,77,276515,17,13,58,68,46,98,56,0,0,40,24,8
46,77,51618,39,9,58,68,100,98,34,0,0,40,95,8
59,77,159937,39,9,58,82,46,98,56,0,0,48,95,8
44,77,343591,39,9,25,23,65,98,34,14344,0,40,95,9
53,77,346253,39,9,25,82,70,98,34,0,0,35,95,8
49,54,268234,39,9,58,80,46,98,56,0,0,40,95,9
33,77,202051,60,14,58,79,46,98,56,0,0,50,95,8
30,77,54334,7,5,62,82,65,98,56,0,0,40,95,8
43,33,410867,26,16,62,79,65,98,34,0,0,50,95,9
57,77,249977,16,11,58,79,46,98,56,0,0,40,95,8
37,77,286730,87,10,25,23,96,98,34,0,0,40,95,8
28,77,212563,87,10,25,55,96,18,34,0,0,25,95,8
